2026-04-15 21:37:17 | INFO     | configs.logging_config:setup_logging:70 | Logging initialized — level=DEBUG, file=C:\Users\lenovo\OneDrive\projects\Resume Analyzer\logs\resume_analyzer.log
2026-04-15 21:41:52 | INFO     | configs.logging_config:setup_logging:70 | Logging initialized — level=DEBUG, file=C:\Users\lenovo\OneDrive\projects\Resume Analyzer\logs\resume_analyzer.log
2026-04-15 21:42:27 | INFO     | configs.logging_config:setup_logging:70 | Logging initialized — level=DEBUG, file=C:\Users\lenovo\OneDrive\projects\Resume Analyzer\logs\resume_analyzer.log
2026-04-15 21:45:25 | INFO     | configs.logging_config:setup_logging:70 | Logging initialized — level=DEBUG, file=C:\Users\lenovo\OneDrive\projects\Resume Analyzer\logs\resume_analyzer.log
2026-04-15 21:45:26 | INFO     | backend.api:lifespan:47 | ResumeIQ API starting up...
2026-04-15 21:45:26 | INFO     | database.connection:init_db:86 | Database tables created/verified at: C:\Users\lenovo\OneDrive\projects\Resume Analyzer\data\resume_analyzer.db
2026-04-15 21:45:26 | INFO     | backend.api:lifespan:50 | Database tables verified/created.
2026-04-15 21:45:26 | CRITICAL | backend.api:lifespan:60 | Startup failed — missing environment variable: GROQ_API_KEY environment variable is not set. Export it before starting the server.
2026-04-15 21:49:41 | INFO     | configs.logging_config:setup_logging:70 | Logging initialized — level=DEBUG, file=C:\Users\lenovo\OneDrive\projects\Resume Analyzer\logs\resume_analyzer.log
2026-04-15 21:49:41 | INFO     | backend.api:lifespan:47 | ResumeIQ API starting up...
2026-04-15 21:49:41 | INFO     | database.connection:init_db:86 | Database tables created/verified at: C:\Users\lenovo\OneDrive\projects\Resume Analyzer\data\resume_analyzer.db
2026-04-15 21:49:41 | INFO     | backend.api:lifespan:50 | Database tables verified/created.
2026-04-15 21:49:41 | CRITICAL | backend.api:lifespan:60 | Startup failed — missing environment variable: GROQ_API_KEY environment variable is not set. Export it before starting the server.
2026-04-15 21:52:01 | INFO     | configs.logging_config:setup_logging:70 | Logging initialized — level=DEBUG, file=C:\Users\lenovo\OneDrive\projects\Resume Analyzer\logs\resume_analyzer.log
2026-04-15 21:52:02 | INFO     | backend.api:lifespan:47 | ResumeIQ API starting up...
2026-04-15 21:52:02 | INFO     | database.connection:init_db:86 | Database tables created/verified at: C:\Users\lenovo\OneDrive\projects\Resume Analyzer\data\resume_analyzer.db
2026-04-15 21:52:02 | INFO     | backend.api:lifespan:50 | Database tables verified/created.
2026-04-15 21:52:03 | INFO     | backend.ai_engine:__init__:65 | AIEngine initialized — model=llama3-70b-8192
2026-04-15 21:52:03 | INFO     | backend.api:lifespan:58 | All services initialized successfully.
2026-04-15 21:58:13 | INFO     | backend.api:lifespan:68 | ResumeIQ API shutting down.
2026-04-15 22:17:11 | INFO     | configs.logging_config:setup_logging:70 | Logging initialized — level=DEBUG, file=C:\Users\lenovo\OneDrive\projects\Resume Analyzer\logs\resume_analyzer.log
2026-04-15 22:17:12 | INFO     | backend.api:lifespan:47 | ResumeIQ API starting up...
2026-04-15 22:17:12 | INFO     | database.connection:init_db:86 | Database tables created/verified at: C:\Users\lenovo\OneDrive\projects\Resume Analyzer\data\resume_analyzer.db
2026-04-15 22:17:12 | INFO     | backend.api:lifespan:50 | Database tables verified/created.
2026-04-15 22:17:13 | INFO     | backend.ai_engine:__init__:65 | AIEngine initialized — model=llama3-70b-8192
2026-04-15 22:17:13 | INFO     | backend.api:lifespan:58 | All services initialized successfully.
2026-04-15 22:19:01 | DEBUG    | database.connection:get_db:106 | DB session opened.
2026-04-15 22:19:01 | WARNING  | database.connection:get_db:112 | DB session rolled back due to error: 1 validation error:
